County,Facility_Identifier,Population,Scrape_Date,State,Change
Blount,AL_Blount,150,2020-01-31,AL,0.0135135135135136
Blount,AL_Blount,148,2020-02-01,AL,-0.013333333333333308
Blount,AL_Blount,155,2020-02-02,AL,0.04729729729729737
Blount,AL_Blount,146,2020-02-03,AL,-0.0580645161290323
Blount,AL_Blount,147,2020-02-04,AL,0.006849315068493178
Blount,AL_Blount,148,2020-02-05,AL,0.006802721088435382
Blount,AL_Blount,151,2020-02-06,AL,0.02027027027027017
Blount,AL_Blount,141,2020-02-07,AL,-0.06622516556291391
Blount,AL_Blount,148,2020-02-08,AL,0.049645390070921946
Blount,AL_Blount,145,2020-02-11,AL,-0.020270270270270285
Blount,AL_Blount,148,2020-02-12,AL,0.020689655172413838
Blount,AL_Blount,142,2020-02-13,AL,-0.04054054054054057
Blount,AL_Blount,140,2020-02-14,AL,-0.014084507042253502
Blount,AL_Blount,142,2020-02-15,AL,0.014285714285714237
Blount,AL_Blount,145,2020-02-16,AL,0.021126760563380254
Blount,AL_Blount,144,2020-02-17,AL,-0.006896551724137946
Blount,AL_Blount,143,2020-02-18,AL,-0.006944444444444421
Blount,AL_Blount,144,2020-02-19,AL,0.006993006993007089
Blount,AL_Blount,136,2020-02-20,AL,-0.05555555555555558
Blount,AL_Blount,135,2020-02-21,AL,-0.007352941176470562
Blount,AL_Blount,131,2020-02-22,AL,-0.029629629629629676
Blount,AL_Blount,134,2020-02-23,AL,0.022900763358778557
Blount,AL_Blount,131,2020-02-24,AL,-0.02238805970149249
Blount,AL_Blount,134,2020-02-25,AL,0.022900763358778557
Blount,AL_Blount,132,2020-02-26,AL,-0.0149253731343284
Blount,AL_Blount,139,2020-02-27,AL,0.05303030303030298
Blount,AL_Blount,137,2020-02-28,AL,-0.014388489208633115
Blount,AL_Blount,124,2020-03-04,AL,-0.0948905109489051
Blount,AL_Blount,121,2020-03-05,AL,-0.024193548387096756
Blount,AL_Blount,118,2020-03-06,AL,-0.02479338842975209
Blount,AL_Blount,125,2020-03-07,AL,0.05932203389830515
Blount,AL_Blount,125,2020-03-08,AL,0.0
Blount,AL_Blount,125,2020-03-09,AL,0.0
Blount,AL_Blount,125,2020-03-10,AL,0.0
Blount,AL_Blount,124,2020-03-11,AL,-0.008000000000000007
Blount,AL_Blount,127,2020-03-12,AL,0.024193548387096756
Blount,AL_Blount,125,2020-03-13,AL,-0.015748031496062964
Blount,AL_Blount,129,2020-03-14,AL,0.03200000000000003
Blount,AL_Blount,132,2020-03-15,AL,0.023255813953488413
Blount,AL_Blount,136,2020-03-16,AL,0.03030303030303028
Blount,AL_Blount,135,2020-03-17,AL,-0.007352941176470562
Blount,AL_Blount,135,2020-03-18,AL,0.0
Blount,AL_Blount,114,2020-03-19,AL,-0.15555555555555556
Blount,AL_Blount,104,2020-03-20,AL,-0.08771929824561409
Blount,AL_Blount,99,2020-03-21,AL,-0.04807692307692313
Blount,AL_Blount,97,2020-03-22,AL,-0.020202020202020218
Blount,AL_Blount,96,2020-03-23,AL,-0.010309278350515427
Blount,AL_Blount,95,2020-03-24,AL,-0.01041666666666663
Blount,AL_Blount,93,2020-03-25,AL,-0.021052631578947326
Blount,AL_Blount,92,2020-03-26,AL,-0.010752688172043
Blount,AL_Blount,91,2020-03-27,AL,-0.010869565217391351
Blount,AL_Blount,93,2020-03-28,AL,0.0219780219780219
Blount,AL_Blount,92,2020-03-29,AL,-0.010752688172043
Blount,AL_Blount,89,2020-03-30,AL,-0.03260869565217395
Chambers,AL_Chambers,132,2020-03-05,AL,
