2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-07-02               WA_Cowlitz         119   -0.118519
 2020-07-01             MA_Worcester         487    0.124711
 2020-07-01                 MN_Anoka         105   -0.146341
 2020-07-01            MT_Silver_Bow         105   -0.102564
 2020-06-30               LA_Bossier        1958    0.852412
 2020-06-30                 MN_Anoka         123   -0.108696
 2020-06-30            MT_Silver_Bow         117    0.103774
 2020-06-29                  UT_Iron         141   13.100000
 2020-06-29               WA_Cowlitz         130    0.101695
 2020-06-28                KY_Carter         128   -0.292818
 2020-06-28                 MN_Anoka         136    0.133333
 2020-06-27             MI_Van_Buren         105   -0.110169
 2020-06-27                   NM_Lea         131   -0.108844
 2020-06-26               LA_Rapides         849   16.326531
 2020-06-26              OK_Okmulgee         195    0.181818
 2020-06-26               OR_Douglas         124   -0.114286
 2020-06-25               GA_Jackson         103   -0.104348
 2020-06-25  NY_Onondaga_Corrections         257    0.122271
 2020-06-25                 OK_Grady         144    0.125000
 2020-06-24             GA_Effingham         146   -0.109756
 2020-06-24          LA_Natchitoches         309         inf
 2020-06-24              NC_Carteret         120    0.100917
 2020-06-24            NM_Bernalillo        1302         inf
 2020-06-24  NY_Onondaga_Corrections         229    0.106280
 2020-06-23                AL_Blount         105    0.129032
 2020-06-23                 NC_Burke         115   -0.115385
 2020-06-23  NY_Onondaga_Corrections         207    0.106952
 2020-06-23                 OK_Grady         128   -0.111111
 2020-06-22                  IN_Clay         120   -0.148936
 2020-06-22               WA_Cowlitz         129    0.102564
 2020-06-21                FL_Hendry         167    3.638889
 2020-06-21                 MO_Taney         122         inf
 2020-06-21                 OK_Grady         144    0.125000
 2020-06-20               GA_Catoosa         144    0.116279
 2020-06-19               IN_Madison         236         inf
 2020-06-19               OR_Douglas         121    2.025000
 2020-06-18         IA_Pottawattamie         129   -0.145695
 2020-06-18  NY_Onondaga_Corrections         181    0.124224
 2020-06-17                  IN_Clay         139    0.103175
 2020-06-17                 MS_Jones         143         inf
 2020-06-17  NY_Onondaga_Corrections         161    0.150000
 2020-06-17               OH_Licking         166   -0.126316
 2020-06-17                 OK_Grady         128   -0.111111
 2020-06-16                AR_Saline         118   -0.119403
 2020-06-16                CA_Madera         428    1.140000
 2020-06-16          LA_Natchitoches         322         inf
 2020-06-16            MT_Silver_Bow         110    0.100000
 2020-06-16             NV_Las_Vegas         271   -0.117264
 2020-06-16               TX_Kaufman         397         inf
 2020-06-16              WA_Franklin         179    0.104938
 2020-06-16       WA_King_Des_Moines         340   -0.102902
 2020-06-15                  IN_Clay         121   -0.159722
 2020-06-14              MN_St_Louis         143    0.144000
 2020-06-14                 WA_Lewis         147    0.130769
 2020-06-13                MN_Dakota         113   -0.117188
 2020-06-13              MO_Buchanan         149    0.732558
 2020-06-13            MT_Silver_Bow         108    0.213483
 2020-06-13              OH_Pickaway         101    0.216867
 2020-06-13                 OK_Grady         144    0.125000
 2020-06-12                AL_Shelby         502    0.128090
 2020-06-12            OH_Washington         108    0.113402
 2020-06-12               OR_Douglas         107    0.273810
 2020-06-11              IL_Kankakee         253    0.902256
 2020-06-10                IN_Marion        1436   -0.231675
 2020-06-10            LA_Beauregard         121    5.368421
 2020-06-10              LA_Richland         597   30.421053
 2020-06-10            LA_Tangipahoa         439   22.105263
 2020-06-10             MI_Kalamazoo         141         inf
 2020-06-09         CA_Santa_Barbara         655   -0.348907
 2020-06-09                  IN_Clay         135   -0.123377
 2020-06-09              IN_Randolph         829   -0.203650
 2020-06-09           IN_Vanderburgh         604   -0.222651
 2020-06-09             LA_St_Landry         256   12.473684
 2020-06-09        MO_Cape_Girardeau         149         inf
 2020-06-09             NV_Las_Vegas         245   -0.118705
 2020-06-09                 OK_Grady         128   -0.111111
 2020-06-09                PA_Mercer         190   -0.379085
 2020-06-09          WA_Grays_Harbor         120   -0.104478
 2020-06-09       WA_King_Des_Moines         351   -0.113636
