County,Population,Scrape_Date,State,Facility_Identifier
Chilton,227,2020-02-11,AL,AL_Chilton
Chilton,210,2020-02-12,AL,AL_Chilton
Chilton,196,2020-02-13,AL,AL_Chilton
Chilton,204,2020-02-14,AL,AL_Chilton
Chilton,204,2020-02-16,AL,AL_Chilton
Chilton,211,2020-02-17,AL,AL_Chilton
Chilton,216,2020-02-18,AL,AL_Chilton
Chilton,207,2020-02-19,AL,AL_Chilton
Chilton,216,2020-02-20,AL,AL_Chilton
Chilton,216,2020-02-21,AL,AL_Chilton
Chilton,212,2020-02-22,AL,AL_Chilton
Chilton,213,2020-02-23,AL,AL_Chilton
Chilton,215,2020-02-24,AL,AL_Chilton
Chilton,213,2020-02-25,AL,AL_Chilton
Chilton,213,2020-02-26,AL,AL_Chilton
Chilton,214,2020-02-27,AL,AL_Chilton
Chilton,202,2020-02-28,AL,AL_Chilton
Chilton,203,2020-02-29,AL,AL_Chilton
Chilton,202,2020-03-01,AL,AL_Chilton
Chilton,205,2020-03-02,AL,AL_Chilton
Chilton,200,2020-03-03,AL,AL_Chilton
Chilton,199,2020-03-04,AL,AL_Chilton
Chilton,203,2020-03-05,AL,AL_Chilton
Chilton,216,2020-03-06,AL,AL_Chilton
Chilton,210,2020-03-07,AL,AL_Chilton
Chilton,213,2020-03-08,AL,AL_Chilton
Chilton,207,2020-03-09,AL,AL_Chilton
Chilton,210,2020-03-10,AL,AL_Chilton
Chilton,208,2020-03-11,AL,AL_Chilton
Chilton,195,2020-03-12,AL,AL_Chilton
Chilton,201,2020-03-13,AL,AL_Chilton
Chilton,213,2020-03-14,AL,AL_Chilton
Clay,34,2020-03-05,AL,AL_Clay
Clay,33,2020-03-06,AL,AL_Clay
Clay,36,2020-03-07,AL,AL_Clay
Clay,36,2020-03-08,AL,AL_Clay
Clay,36,2020-03-09,AL,AL_Clay
Clay,38,2020-03-10,AL,AL_Clay
Clay,38,2020-03-11,AL,AL_Clay
Clay,39,2020-03-12,AL,AL_Clay
Clay,42,2020-03-13,AL,AL_Clay
Cleburne,81,2020-01-02,AL,AL_Cleburne
Cleburne,83,2020-01-03,AL,AL_Cleburne
Cleburne,82,2020-01-04,AL,AL_Cleburne
Cleburne,83,2020-01-05,AL,AL_Cleburne
Cleburne,87,2020-01-06,AL,AL_Cleburne
Cleburne,85,2020-01-07,AL,AL_Cleburne
Cleburne,83,2020-01-08,AL,AL_Cleburne
Cleburne,81,2020-01-09,AL,AL_Cleburne
Cleburne,81,2020-01-10,AL,AL_Cleburne
Cleburne,84,2020-01-11,AL,AL_Cleburne
Cleburne,82,2020-01-12,AL,AL_Cleburne
Cleburne,82,2020-01-13,AL,AL_Cleburne
Cleburne,80,2020-01-14,AL,AL_Cleburne
Cleburne,76,2020-01-15,AL,AL_Cleburne
Cleburne,76,2020-01-16,AL,AL_Cleburne
Cleburne,73,2020-01-17,AL,AL_Cleburne
Cleburne,77,2020-01-18,AL,AL_Cleburne
Cleburne,80,2020-01-19,AL,AL_Cleburne
Cleburne,78,2020-01-20,AL,AL_Cleburne
Cleburne,76,2020-01-21,AL,AL_Cleburne
Cleburne,75,2020-01-22,AL,AL_Cleburne
Cleburne,76,2020-01-23,AL,AL_Cleburne
Cleburne,74,2020-01-24,AL,AL_Cleburne
Cleburne,74,2020-01-25,AL,AL_Cleburne
Cleburne,74,2020-01-26,AL,AL_Cleburne
Cleburne,74,2020-01-27,AL,AL_Cleburne
Cleburne,72,2020-01-28,AL,AL_Cleburne
Cleburne,71,2020-01-29,AL,AL_Cleburne
Cleburne,71,2020-01-30,AL,AL_Cleburne
Cleburne,71,2020-01-31,AL,AL_Cleburne
Cleburne,71,2020-02-01,AL,AL_Cleburne
Cleburne,74,2020-02-02,AL,AL_Cleburne
Cleburne,72,2020-02-03,AL,AL_Cleburne
Cleburne,72,2020-02-04,AL,AL_Cleburne
Cleburne,75,2020-02-05,AL,AL_Cleburne
Cleburne,70,2020-02-06,AL,AL_Cleburne
Cleburne,72,2020-02-07,AL,AL_Cleburne
Cleburne,70,2020-02-08,AL,AL_Cleburne
Cleburne,70,2020-02-09,AL,AL_Cleburne
Cleburne,69,2020-02-10,AL,AL_Cleburne
Cleburne,71,2020-02-11,AL,AL_Cleburne
Cleburne,71,2020-02-12,AL,AL_Cleburne
Cleburne,71,2020-02-13,AL,AL_Cleburne
Cleburne,70,2020-02-14,AL,AL_Cleburne
Cleburne,69,2020-02-15,AL,AL_Cleburne
Cleburne,69,2020-02-16,AL,AL_Cleburne
Cleburne,68,2020-02-17,AL,AL_Cleburne
Cleburne,71,2020-02-18,AL,AL_Cleburne
Cleburne,71,2020-02-19,AL,AL_Cleburne
Cleburne,73,2020-02-20,AL,AL_Cleburne
Cleburne,74,2020-02-21,AL,AL_Cleburne
Cleburne,76,2020-02-22,AL,AL_Cleburne
Cleburne,80,2020-02-23,AL,AL_Cleburne
Cleburne,78,2020-02-24,AL,AL_Cleburne
Cleburne,75,2020-02-25,AL,AL_Cleburne
Cleburne,76,2020-02-26,AL,AL_Cleburne
Cleburne,75,2020-02-27,AL,AL_Cleburne
Cleburne,75,2020-02-28,AL,AL_Cleburne
Cleburne,74,2020-02-29,AL,AL_Cleburne
Cleburne,75,2020-03-01,AL,AL_Cleburne
Cleburne,74,2020-03-02,AL,AL_Cleburne
Cleburne,74,2020-03-03,AL,AL_Cleburne
Cleburne,77,2020-03-04,AL,AL_Cleburne
Cleburne,77,2020-03-05,AL,AL_Cleburne
Cleburne,78,2020-03-06,AL,AL_Cleburne
Cleburne,81,2020-03-07,AL,AL_Cleburne
Cleburne,82,2020-03-08,AL,AL_Cleburne
Cleburne,82,2020-03-09,AL,AL_Cleburne
Cleburne,84,2020-03-10,AL,AL_Cleburne
Cleburne,84,2020-03-11,AL,AL_Cleburne
Cleburne,84,2020-03-12,AL,AL_Cleburne
Cleburne,84,2020-03-13,AL,AL_Cleburne
Cleburne,84,2020-03-14,AL,AL_Cleburne
Cleburne,86,2020-03-15,AL,AL_Cleburne
Coffee,139,2020-01-13,AL,AL_Coffee
Coffee,139,2020-01-14,AL,AL_Coffee
Coffee,137,2020-01-15,AL,AL_Coffee
Coffee,140,2020-01-16,AL,AL_Coffee
