State,County,Facility_Name,Facility_Identifier,Scrape_Date,Race,Race_Population,Race_Change,Race_Proportion,Total_Population,Total_Change
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,black,7,-0.222222222,0.068627451,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,hispanic,5,-0.375,0.049019608,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,other,1,-0.5,0.009803922,102,-0.346153846
AL,DeKalb,DeKalb County Detention Center,AL_DeKalb,4/12/20,white,89,-0.350364964,0.87254902,102,-0.346153846
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,black,17,,0.22972973,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,hispanic,1,,0.013513514,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,other,0,,0,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,3/16/20,white,56,,0.756756757,74,
AL,Fayette,Fayette Co. Jail,AL_Fayette,4/12/20,black,12,-0.294117647,0.206896552,58,-0.216216216
AL,Fayette,Fayette Co. Jail,AL_Fayette,4/12/20,hispanic,1,0,0.017241379,58,-0.216216216
AL,Fayette,Fayette Co. Jail,AL_Fayette,4/12/20,other,0,,0,58,-0.216216216
AL,Fayette,Fayette Co. Jail,AL_Fayette,4/12/20,white,45,-0.196428571,0.775862069,58,-0.216216216
AL,Franklin,Franklin Co. Jail,AL_Franklin,3/16/20,black,15,,0.132743363,113,
AL,Franklin,Franklin Co. Jail,AL_Franklin,3/16/20,hispanic,7,,0.061946903,113,
AL,Franklin,Franklin Co. Jail,AL_Franklin,3/16/20,other,3,,0.026548673,113,
AL,Franklin,Franklin Co. Jail,AL_Franklin,3/16/20,white,88,,0.778761062,113,
AL,Franklin,Franklin Co. Jail,AL_Franklin,4/12/20,black,14,-0.066666667,0.164705882,85,-0.247787611
AL,Franklin,Franklin Co. Jail,AL_Franklin,4/12/20,hispanic,6,-0.142857143,0.070588235,85,-0.247787611
AL,Franklin,Franklin Co. Jail,AL_Franklin,4/12/20,other,2,-0.333333333,0.023529412,85,-0.247787611
AL,Franklin,Franklin Co. Jail,AL_Franklin,4/12/20,white,63,-0.284090909,0.741176471,85,-0.247787611
AL,Houston,Houston Co. Jail,AL_Houston,3/16/20,black,197,,0.529569892,372,
AL,Houston,Houston Co. Jail,AL_Houston,3/16/20,hispanic,7,,0.018817204,372,
AL,Houston,Houston Co. Jail,AL_Houston,3/16/20,other,1,,0.002688172,372,
AL,Houston,Houston Co. Jail,AL_Houston,3/16/20,white,167,,0.448924731,372,
AL,Houston,Houston Co. Jail,AL_Houston,4/12/20,black,144,-0.269035533,0.580645161,248,-0.333333333
AL,Houston,Houston Co. Jail,AL_Houston,4/12/20,hispanic,6,-0.142857143,0.024193548,248,-0.333333333
AL,Houston,Houston Co. Jail,AL_Houston,4/12/20,other,1,0,0.004032258,248,-0.333333333
AL,Houston,Houston Co. Jail,AL_Houston,4/12/20,white,97,-0.419161677,0.391129032,248,-0.333333333
AL,Jackson,Jackson Co. Jail,AL_Jackson,3/16/20,black,23,,0.132183908,174,
AL,Jackson,Jackson Co. Jail,AL_Jackson,3/16/20,hispanic,0,,0,174,
AL,Jackson,Jackson Co. Jail,AL_Jackson,3/16/20,other,0,,0,174,
AL,Jackson,Jackson Co. Jail,AL_Jackson,3/16/20,white,151,,0.867816092,174,
AL,Jackson,Jackson Co. Jail,AL_Jackson,4/12/20,black,23,0,0.193277311,119,-0.316091954
AL,Jackson,Jackson Co. Jail,AL_Jackson,4/12/20,hispanic,0,,0,119,-0.316091954
AL,Jackson,Jackson Co. Jail,AL_Jackson,4/12/20,other,0,,0,119,-0.316091954
AL,Jackson,Jackson Co. Jail,AL_Jackson,4/12/20,white,96,-0.364238411,0.806722689,119,-0.316091954
AL,Limestone,Limestone Co. Jail,AL_Limestone,3/16/20,black,52,,0.207171315,251,
AL,Limestone,Limestone Co. Jail,AL_Limestone,3/16/20,hispanic,0,,0,251,
AL,Limestone,Limestone Co. Jail,AL_Limestone,3/16/20,other,7,,0.027888446,251,
AL,Limestone,Limestone Co. Jail,AL_Limestone,3/16/20,white,192,,0.764940239,251,
AL,Limestone,Limestone Co. Jail,AL_Limestone,4/12/20,black,52,0,0.207171315,251,0
AL,Limestone,Limestone Co. Jail,AL_Limestone,4/12/20,hispanic,0,,0,251,0
AL,Limestone,Limestone Co. Jail,AL_Limestone,4/12/20,other,7,0,0.027888446,251,0
AL,Limestone,Limestone Co. Jail,AL_Limestone,4/12/20,white,192,0,0.764940239,251,0
AL,Marion,Marion Co. Jail,AL_Marion,3/16/20,black,12,,0.082758621,145,
AL,Marion,Marion Co. Jail,AL_Marion,3/16/20,hispanic,1,,0.006896552,145,
AL,Marion,Marion Co. Jail,AL_Marion,3/16/20,other,0,,0,145,
AL,Marion,Marion Co. Jail,AL_Marion,3/16/20,white,132,,0.910344828,145,
AL,Marion,Marion Co. Jail,AL_Marion,4/12/20,black,7,-0.416666667,0.066666667,105,-0.275862069
AL,Marion,Marion Co. Jail,AL_Marion,4/12/20,hispanic,1,0,0.00952381,105,-0.275862069
AL,Marion,Marion Co. Jail,AL_Marion,4/12/20,other,0,,0,105,-0.275862069
AL,Marion,Marion Co. Jail,AL_Marion,4/12/20,white,97,-0.265151515,0.923809524,105,-0.275862069
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,3/16/20,black,204,,0.320754717,636,
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,3/16/20,hispanic,0,,0,636,
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,3/16/20,other,1,,0.001572327,636,
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,3/16/20,white,431,,0.677672956,636,
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,4/12/20,black,186,-0.088235294,0.34962406,532,-0.163522013
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,4/12/20,hispanic,1,inf,0.001879699,532,-0.163522013
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,4/12/20,other,1,0,0.001879699,532,-0.163522013
AL,Morgan,Morgan Co. Corr. Fac.,AL_Morgan,4/12/20,white,344,-0.201856148,0.646616541,532,-0.163522013
AL,Pickens,Pickens Co. Jail,AL_Pickens,3/16/20,black,63,,0.583333333,108,
AL,Pickens,Pickens Co. Jail,AL_Pickens,3/16/20,hispanic,8,,0.074074074,108,
AL,Pickens,Pickens Co. Jail,AL_Pickens,3/16/20,other,0,,0,108,
AL,Pickens,Pickens Co. Jail,AL_Pickens,3/16/20,white,37,,0.342592593,108,
AL,Pickens,Pickens Co. Jail,AL_Pickens,4/12/20,black,58,-0.079365079,0.604166667,96,-0.111111111
AL,Pickens,Pickens Co. Jail,AL_Pickens,4/12/20,hispanic,8,0,0.083333333,96,-0.111111111
AL,Pickens,Pickens Co. Jail,AL_Pickens,4/12/20,other,0,,0,96,-0.111111111
AL,Pickens,Pickens Co. Jail,AL_Pickens,4/12/20,white,30,-0.189189189,0.3125,96,-0.111111111
AL,Pike,Pike Co. Jail,AL_Pike,3/16/20,black,35,,0.603448276,58,
AL,Pike,Pike Co. Jail,AL_Pike,3/16/20,hispanic,0,,0,58,
